,precision,recall,f1-score,support
BOJ,0.7368421052631579,0.5185185185185185,0.6086956521739131,27.0
BOP,0.6808510638297872,0.9696969696969697,0.7999999999999999,33.0
CHR,0.5555555555555556,0.3448275862068966,0.4255319148936171,58.0
EPB,0.4444444444444444,0.3076923076923077,0.3636363636363637,13.0
EPN,0.25,0.4666666666666667,0.32558139534883723,15.0
EPO,0.2857142857142857,0.15384615384615385,0.2,26.0
EPR,0.0,0.0,0.0,19.0
ERR,0.25,0.42857142857142855,0.3157894736842105,28.0
ERS,0.21052631578947367,0.4444444444444444,0.2857142857142857,27.0
FRA,0.5588235294117647,1.0,0.7169811320754718,19.0
HEG,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
MEL,0.62,0.8378378378378378,0.7126436781609196,37.0
ORA,0.6,0.47368421052631576,0.5294117647058824,19.0
OSV,0.0,0.0,0.0,10.0
PET,0.8571428571428571,0.6,0.7058823529411764,20.0
PIB,0.38461538461538464,0.22727272727272727,0.2857142857142857,22.0
PIR,0.25,0.25,0.25,8.0
PRU,0.5454545454545454,0.3333333333333333,0.41379310344827586,18.0
SAB,0.2,0.2,0.20000000000000004,15.0
THO,0.8461538461538461,0.6470588235294118,0.7333333333333334,17.0
accuracy,0.4799107142857143,0.4799107142857143,0.4799107142857143,0.4799107142857143
macro avg,0.4566633395258979,0.4454666680542093,0.43234511421088345,448.0
weighted avg,0.4878613221893312,0.4799107142857143,0.46297297686189326,448.0
